epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1695.49,2.01761,2.94133,1.42393,0.13041,0.12638,0.08314,0.02638,2.44454,4.27715,1.62214,0.000742625,0.000742625,0.000742625
43,1737,2.00244,2.93794,1.40999,0.42148,0.15976,0.12369,0.04073,2.30112,4.62033,1.56792,0.00073025,0.00073025,0.00073025
44,1777.56,1.98635,2.93658,1.39994,0.64227,0.1748,0.11969,0.03154,2.29053,4.66039,1.55074,0.000717875,0.000717875,0.000717875
45,1818.47,1.99546,2.83032,1.4029,0.69087,0.16459,0.12413,0.03913,2.36079,4.2876,1.64398,0.0007055,0.0007055,0.0007055
46,1859.98,1.99605,2.90384,1.40959,0.44065,0.17102,0.14227,0.04375,2.38737,4.14406,1.57357,0.000693125,0.000693125,0.000693125
47,1900.08,1.96322,2.81309,1.38658,0.41354,0.13719,0.09902,0.02688,2.5266,4.79536,1.66502,0.00068075,0.00068075,0.00068075
48,1940.87,1.96231,2.76685,1.39414,0.12503,0.12144,0.06999,0.01708,2.67517,4.09398,1.79653,0.000668375,0.000668375,0.000668375
49,1981.67,1.94801,2.70882,1.37049,0.70116,0.16861,0.12992,0.03838,2.35676,3.85506,1.60671,0.000656,0.000656,0.000656
50,2023.19,1.98185,2.83555,1.38363,0.633,0.15081,0.10706,0.02976,2.4204,4.00165,1.65246,0.000643625,0.000643625,0.000643625
51,2063.91,1.93439,2.69523,1.38225,0.37907,0.1193,0.08126,0.02085,2.63217,4.18994,1.71087,0.00063125,0.00063125,0.00063125
52,2104.88,1.92693,2.74582,1.37134,0.68834,0.12269,0.11616,0.03195,2.43572,4.34019,1.59571,0.000618875,0.000618875,0.000618875
53,2146.06,1.94491,2.7167,1.36919,0.42143,0.13921,0.11712,0.03471,2.43453,4.52744,1.61988,0.0006065,0.0006065,0.0006065
54,2187.53,1.91387,2.71046,1.35239,0.45199,0.16056,0.14243,0.0389,2.43169,4.36956,1.62564,0.000594125,0.000594125,0.000594125
55,2230.26,1.90418,2.64668,1.36089,0.42956,0.12688,0.11089,0.03262,2.45475,3.87526,1.65233,0.00058175,0.00058175,0.00058175
56,2271.08,1.9272,2.60364,1.35577,0.40379,0.11866,0.08966,0.02332,2.49858,4.27718,1.67464,0.000569375,0.000569375,0.000569375
57,2312.25,1.92141,2.58993,1.34373,0.39579,0.18039,0.12639,0.03688,2.29972,4.81376,1.57583,0.000557,0.000557,0.000557
58,2353.03,1.90964,2.56353,1.33513,0.4023,0.16189,0.11631,0.03491,2.55507,4.44362,1.68711,0.000544625,0.000544625,0.000544625
59,2393.76,1.87059,2.53359,1.31518,0.39092,0.12257,0.09962,0.02619,2.57565,4.46745,1.74591,0.00053225,0.00053225,0.00053225
60,2434.88,1.9041,2.52821,1.32914,0.62145,0.11725,0.07342,0.01777,2.72169,4.75751,1.81584,0.000519875,0.000519875,0.000519875
61,2475.51,1.86367,2.59629,1.3468,0.69906,0.13264,0.09813,0.02905,2.55629,5.10743,1.75177,0.0005075,0.0005075,0.0005075
62,2516.82,1.91483,2.56513,1.34158,0.15064,0.1303,0.09043,0.02538,2.64714,4.44021,1.80906,0.000495125,0.000495125,0.000495125
63,2558.38,1.86096,2.48462,1.3299,0.64166,0.12821,0.09862,0.0274,2.55418,4.27249,1.66791,0.00048275,0.00048275,0.00048275
64,2598.97,1.86139,2.44321,1.31169,0.40681,0.15494,0.11438,0.03224,2.51278,4.67114,1.71309,0.000470375,0.000470375,0.000470375
65,2640.02,1.80567,2.39754,1.30878,0.70169,0.12773,0.12166,0.03514,2.56199,4.53643,1.74864,0.000458,0.000458,0.000458
66,2681.09,1.79489,2.32528,1.30576,0.4298,0.14413,0.10447,0.03159,2.77346,4.69762,1.86697,0.000445625,0.000445625,0.000445625
67,2721.72,1.82679,2.38604,1.32367,0.40242,0.1634,0.12238,0.03933,2.55163,4.96017,1.80708,0.00043325,0.00043325,0.00043325
