epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,985.515,2.20549,3.84512,1.4915,0.34208,0.33331,0.21663,0.07068,2.28197,3.90555,1.78995,0.000990365,0.000990365,0.000990365
43,1011.02,2.18547,3.87068,1.51205,0.25549,0.38675,0.22557,0.07305,2.30086,4.11844,1.76267,0.000973861,0.000973861,0.000973861
44,1039.63,2.17746,3.8353,1.51836,0.31164,0.32509,0.21981,0.06993,2.29804,3.97477,1.75821,0.000957358,0.000957358,0.000957358
45,1066.92,2.18447,3.7751,1.48076,0.29692,0.39706,0.25404,0.08201,2.27821,3.75305,1.78487,0.000940855,0.000940855,0.000940855
46,1095.86,2.21377,3.79878,1.49357,0.30209,0.35738,0.22743,0.07021,2.35396,4.03743,1.80866,0.000924352,0.000924352,0.000924352
47,1125.19,2.17746,3.73381,1.50188,0.2531,0.37775,0.21261,0.06968,2.39699,4.07513,1.8018,0.000907848,0.000907848,0.000907848
48,1151.29,2.15844,3.73582,1.49099,0.29241,0.30543,0.20548,0.06068,2.38787,4.06918,1.79167,0.000891345,0.000891345,0.000891345
49,1178.66,2.18368,3.73654,1.50648,0.29083,0.29243,0.18124,0.05874,2.35208,4.36974,1.77939,0.000874842,0.000874842,0.000874842
50,1204.93,2.15792,3.73142,1.49942,0.27003,0.27805,0.19305,0.06441,2.29899,4.24302,1.80477,0.000858338,0.000858338,0.000858338
51,1231.28,2.14509,3.6267,1.50359,0.32298,0.27839,0.23348,0.07371,2.34635,4.58021,1.83897,0.000841835,0.000841835,0.000841835
52,1252.19,2.13731,3.64937,1.50629,0.36956,0.28787,0.22659,0.07423,2.35276,4.36203,1.79801,0.000825332,0.000825332,0.000825332
53,1280.42,2.10799,3.59332,1.47536,0.29657,0.3289,0.20923,0.06897,2.42028,3.9294,1.87368,0.000808828,0.000808828,0.000808828
54,1308.79,2.19706,3.6604,1.49361,0.25768,0.3321,0.20439,0.06433,2.50829,3.7157,1.86641,0.000792325,0.000792325,0.000792325
55,1335.99,2.14766,3.55583,1.45917,0.23794,0.34052,0.2129,0.07169,2.52462,4.06002,2.02043,0.000775822,0.000775822,0.000775822
56,1363.2,2.10276,3.56138,1.46324,0.29618,0.29981,0.20322,0.06413,2.46678,4.30973,1.95564,0.000759318,0.000759318,0.000759318
57,1389.08,2.13533,3.48318,1.46191,0.23293,0.30563,0.19561,0.05917,2.51116,4.5763,1.93488,0.000742815,0.000742815,0.000742815
58,1412.66,2.13108,3.4093,1.43535,0.25752,0.26434,0.19031,0.05619,2.60572,4.66614,1.96299,0.000726312,0.000726312,0.000726312
59,1439.53,2.12279,3.51278,1.46822,0.30185,0.28015,0.20367,0.06605,2.61248,3.86325,1.99799,0.000709809,0.000709809,0.000709809
60,1465.94,2.14069,3.51315,1.47626,0.29583,0.31207,0.22086,0.06779,2.59208,4.0828,1.93322,0.000693305,0.000693305,0.000693305
