epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2685.19,1.86255,2.45104,1.49254,0.16368,0.15855,0.11453,0.03302,2.575,4.94582,2.06176,0.000742625,0.000742625,0.000742625
43,2735.51,1.83356,2.38508,1.48411,0.17764,0.16741,0.11626,0.03365,2.57225,4.31422,2.06743,0.00073025,0.00073025,0.00073025
44,2786.5,1.81347,2.33424,1.46542,0.14883,0.1523,0.12206,0.03061,2.85381,4.60586,2.21632,0.000717875,0.000717875,0.000717875
45,2842.15,1.80918,2.26696,1.45685,0.43418,0.16193,0.11945,0.03028,2.57754,4.1874,2.08178,0.0007055,0.0007055,0.0007055
46,2895.02,1.83133,2.36903,1.48639,0.11413,0.12889,0.08779,0.02265,2.67674,4.35257,2.07193,0.000693125,0.000693125,0.000693125
47,2947.36,1.7799,2.26792,1.44821,0.1773,0.15098,0.11516,0.03305,2.62354,4.56137,2.14861,0.00068075,0.00068075,0.00068075
48,3013.51,1.76916,2.18782,1.45126,0.15984,0.14961,0.10183,0.02762,2.66123,3.99593,2.17116,0.000668375,0.000668375,0.000668375
49,3095.34,1.75351,2.14982,1.42503,0.18467,0.16339,0.12401,0.03436,2.67175,4.1619,2.10706,0.000656,0.000656,0.000656
50,3146.53,1.76158,2.25988,1.418,0.16487,0.15376,0.10737,0.03043,2.58704,3.72414,2.06348,0.000643625,0.000643625,0.000643625
51,3195.03,1.73202,2.13756,1.43254,0.3931,0.10706,0.0747,0.01952,2.77787,4.03287,2.23679,0.00063125,0.00063125,0.00063125
52,3242.41,1.71326,2.16301,1.41802,0.23524,0.13925,0.11836,0.03193,2.70823,4.14229,2.19504,0.000618875,0.000618875,0.000618875
53,3290.18,1.72236,2.1479,1.43574,0.18945,0.15025,0.12425,0.03358,2.65446,3.80162,2.12359,0.0006065,0.0006065,0.0006065
54,3338.59,1.69524,2.10834,1.40818,0.44334,0.1847,0.12806,0.0351,2.75329,5.12042,2.22015,0.000594125,0.000594125,0.000594125
55,3388.6,1.6697,2.07487,1.4082,0.13838,0.13115,0.08626,0.02126,2.82021,4.51692,2.25043,0.00058175,0.00058175,0.00058175
56,3441.73,1.67892,2.00988,1.39348,0.16039,0.17576,0.10553,0.02831,2.69767,4.21142,2.24702,0.000569375,0.000569375,0.000569375
57,3489.93,1.68156,1.97559,1.37557,0.13353,0.16472,0.08467,0.023,2.7963,3.7102,2.36853,0.000557,0.000557,0.000557
58,3540.02,1.65509,1.96374,1.36759,0.17363,0.12285,0.0989,0.02346,2.75571,4.94843,2.22309,0.000544625,0.000544625,0.000544625
59,3586.49,1.63797,1.94663,1.36056,0.15071,0.13461,0.08882,0.02175,2.68825,4.0946,2.22368,0.00053225,0.00053225,0.00053225
60,3640.39,1.66335,1.96189,1.36707,0.17606,0.14896,0.10911,0.0269,2.80185,3.94157,2.32149,0.000519875,0.000519875,0.000519875
61,3686.83,1.63404,1.98384,1.39874,0.67275,0.16052,0.11379,0.03022,2.73802,4.33464,2.22505,0.0005075,0.0005075,0.0005075
62,3737.91,1.65377,1.94265,1.37659,0.74911,0.14626,0.13486,0.03268,2.82924,4.47266,2.27032,0.000495125,0.000495125,0.000495125
63,3790.45,1.63829,1.91358,1.38395,0.44246,0.1552,0.11468,0.03294,2.63374,4.64837,2.07203,0.00048275,0.00048275,0.00048275
