epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1009.68,2.0951,1.66345,1.55051,0.87066,0.12385,0.1103,0.03375,2.34045,1.85779,1.74308,0.000615781,0.000615781,0.000615781
43,1031.85,2.09585,1.6958,1.56053,0.8737,0.11854,0.12867,0.04234,2.3621,1.90518,1.83439,0.000600313,0.000600313,0.000600313
44,1054.91,2.10447,1.63815,1.5639,0.87895,0.11771,0.12685,0.04019,2.45515,1.88522,1.844,0.000584844,0.000584844,0.000584844
45,1077.61,2.13093,1.62936,1.54716,0.86837,0.13306,0.13894,0.04622,2.41544,1.84898,1.7946,0.000569375,0.000569375,0.000569375
46,1099.24,2.10094,1.63447,1.55615,0.3682,0.12948,0.10692,0.03037,2.44889,1.90382,1.76689,0.000553906,0.000553906,0.000553906
47,1121.68,2.07418,1.62857,1.55442,0.36588,0.12948,0.10533,0.0314,2.38661,1.86167,1.72443,0.000538438,0.000538438,0.000538438
48,1144.77,2.08149,1.63993,1.52523,0.35326,0.11643,0.08959,0.02429,2.49455,1.96676,1.70309,0.000522969,0.000522969,0.000522969
49,1168.02,2.06812,1.58052,1.50593,0.37118,0.12513,0.10807,0.03033,2.47396,1.84273,1.75441,0.0005075,0.0005075,0.0005075
50,1190.77,2.04421,1.57421,1.51908,0.36782,0.12999,0.10739,0.03072,2.46273,1.83208,1.77199,0.000492031,0.000492031,0.000492031
51,1213.07,2.03455,1.63211,1.52976,0.6201,0.11521,0.10554,0.03023,2.45365,1.88131,1.76055,0.000476562,0.000476562,0.000476562
52,1235.44,2.04834,1.57441,1.50608,0.61828,0.13306,0.11216,0.0345,2.43365,1.81606,1.7884,0.000461094,0.000461094,0.000461094
53,1257.37,2.03063,1.57284,1.52081,0.62431,0.1369,0.11908,0.03703,2.4193,1.80209,1.78196,0.000445625,0.000445625,0.000445625
54,1279.2,2.04431,1.58177,1.52675,0.36808,0.14713,0.11935,0.03715,2.39267,1.81574,1.75398,0.000430156,0.000430156,0.000430156
55,1302.53,2.06144,1.58108,1.50665,0.61159,0.13792,0.11287,0.03421,2.41907,1.85961,1.75458,0.000414688,0.000414688,0.000414688
56,1324.77,2.05558,1.56351,1.48369,0.61513,0.1195,0.10461,0.02986,2.49994,1.88003,1.80547,0.000399219,0.000399219,0.000399219
57,1346.49,2.02603,1.55024,1.50911,0.37167,0.11592,0.10655,0.03153,2.47264,1.87427,1.7935,0.00038375,0.00038375,0.00038375
58,1369.02,2.01878,1.54509,1.49934,0.35294,0.10977,0.08625,0.02372,2.54162,1.92933,1.79511,0.000368281,0.000368281,0.000368281
59,1392.28,1.97885,1.54257,1.50044,0.60448,0.11668,0.09005,0.0248,2.54133,1.94533,1.78749,0.000352812,0.000352812,0.000352812
60,1415.56,2.02539,1.50046,1.46878,0.6026,0.11796,0.09013,0.02387,2.5862,1.94246,1.81167,0.000337344,0.000337344,0.000337344
61,1438.63,2.05451,1.51321,1.50426,0.61503,0.13997,0.11146,0.03289,2.45865,1.79187,1.78565,0.000321875,0.000321875,0.000321875
62,1461.05,2.00857,1.58123,1.50485,0.60651,0.12003,0.09498,0.02592,2.54778,1.90044,1.79518,0.000306406,0.000306406,0.000306406
63,1484.65,2.0147,1.55794,1.51275,0.86732,0.14099,0.13391,0.03736,2.4135,1.79365,1.77904,0.000290937,0.000290937,0.000290937
64,1507.89,1.99471,1.56147,1.50091,0.86331,0.13127,0.11318,0.03291,2.44117,1.8342,1.78303,0.000275469,0.000275469,0.000275469
65,1530.65,2.01674,1.52856,1.48371,0.86247,0.12973,0.10718,0.03074,2.47503,1.8364,1.79802,0.00026,0.00026,0.00026
66,1552.86,1.98744,1.49372,1.45612,0.86088,0.14048,0.11769,0.03336,2.48293,1.80048,1.80961,0.000244531,0.000244531,0.000244531
67,1575.59,1.98086,1.47173,1.45645,0.86301,0.13971,0.1061,0.03027,2.4951,1.79982,1.82513,0.000229063,0.000229063,0.000229063
68,1598.87,1.97533,1.47385,1.4695,0.61798,0.13697,0.11356,0.03127,2.4983,1.78661,1.83572,0.000213594,0.000213594,0.000213594
69,1621.36,1.97596,1.49997,1.47574,0.61527,0.13355,0.11212,0.03175,2.49087,1.79142,1.82158,0.000198125,0.000198125,0.000198125
70,1643.84,1.94827,1.45434,1.44628,0.85174,0.12155,0.09331,0.02532,2.58376,1.88106,1.83166,0.000182656,0.000182656,0.000182656
71,1666.29,2.20906,2.00815,1.53725,0.60085,0.1259,0.09627,0.02769,2.583,1.90191,1.81292,0.000167188,0.000167188,0.000167188
72,1687.53,2.05897,1.63034,1.48728,0.86921,0.1369,0.11684,0.03489,2.47383,1.76551,1.77882,0.000151719,0.000151719,0.000151719
73,1709.33,1.96851,1.60042,1.47109,0.86748,0.13338,0.11013,0.03171,2.48397,1.77348,1.74856,0.00013625,0.00013625,0.00013625
74,1730.67,1.96473,1.55847,1.46667,0.61539,0.12973,0.10814,0.03138,2.4375,1.84244,1.74122,0.000120781,0.000120781,0.000120781
75,1752.37,1.93119,1.57705,1.47787,0.61096,0.12897,0.10426,0.02958,2.41756,1.87315,1.7415,0.000105312,0.000105312,0.000105312
76,1774.48,1.90085,1.60803,1.45257,0.35633,0.1172,0.09266,0.02541,2.48822,1.88604,1.7598,8.98437e-05,8.98437e-05,8.98437e-05
77,1797.01,1.93368,1.51948,1.45957,0.35983,0.12666,0.09796,0.0267,2.48397,1.86805,1.76389,7.4375e-05,7.4375e-05,7.4375e-05
78,1819.79,1.86029,1.50875,1.447,0.36418,0.13101,0.10532,0.02979,2.46568,1.85255,1.76437,5.89062e-05,5.89062e-05,5.89062e-05
79,1844,1.90732,1.52494,1.48052,0.36646,0.12854,0.10661,0.02974,2.48048,1.85371,1.77305,4.34375e-05,4.34375e-05,4.34375e-05
80,1867.43,1.88106,1.46506,1.43832,0.36575,0.12794,0.10732,0.02973,2.49485,1.83556,1.77827,2.79687e-05,2.79687e-05,2.79687e-05
